"decimalLongitude","decimalLatitude","gbifID","accessRights","bibliographicCitation","language","license","modified","publisher","references","rightsHolder","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","acceptedScientificName","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory"
-89.2,40.07,1264870769,NA,NA,NA,"CC0_1_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MATERIAL_CITATION",NA,NA,NA,21301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US",NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aedes albopictus (Skuse, 1894)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Diptera",NA,"Culicidae",NA,NA,NA,"Aedes","Aedes",NA,NA,"albopictus",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"33614778-513a-4ec0-814d-125021cca5fe","GB","2025-02-02T16:31:24.329Z",NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_UNPARSABLE",NA,"true","false",1651430,1651430,1,54,216,811,3346,7924646,NA,1651430,"Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes albopictus",NA,"DWC_ARCHIVE","2025-02-02T16:31:24.329Z","2025-01-24T08:50:12.886Z","true",NA,NA,"false","NORTH_AMERICA","EUROPE","USA","United States","USA.14_1","Illinois","USA.14.55_1","Logan","","","NE"
-90.16,38.62,1264870690,NA,NA,NA,"CC0_1_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MATERIAL_CITATION",NA,NA,NA,21239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US",NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aedes albopictus (Skuse, 1894)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Diptera",NA,"Culicidae",NA,NA,NA,"Aedes","Aedes",NA,NA,"albopictus",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"33614778-513a-4ec0-814d-125021cca5fe","GB","2025-02-02T16:31:24.365Z",NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_UNPARSABLE",NA,"true","false",1651430,1651430,1,54,216,811,3346,7924646,NA,1651430,"Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes albopictus",NA,"DWC_ARCHIVE","2025-02-02T16:31:24.365Z","2025-01-24T08:50:12.886Z","true",NA,NA,"false","NORTH_AMERICA","EUROPE","USA","United States","USA.14_1","Illinois","USA.14.83_1","Saint Clair","","","NE"
-89.63,40.69,1264870398,NA,NA,NA,"CC0_1_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MATERIAL_CITATION",NA,NA,NA,20988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,NA,NA,NA,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US",NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aedes albopictus (Skuse, 1894)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Diptera",NA,"Culicidae",NA,NA,NA,"Aedes","Aedes",NA,NA,"albopictus",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"33614778-513a-4ec0-814d-125021cca5fe","GB","2025-02-02T16:31:23.931Z",NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_UNPARSABLE",NA,"true","false",1651430,1651430,1,54,216,811,3346,7924646,NA,1651430,"Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes albopictus",NA,"DWC_ARCHIVE","2025-02-02T16:31:23.931Z","2025-01-24T08:50:12.886Z","true",NA,NA,"false","NORTH_AMERICA","EUROPE","USA","United States","USA.14_1","Illinois","USA.14.73_1","Peoria","","","NE"
-89.82,39.13,1264870368,NA,NA,NA,"CC0_1_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MATERIAL_CITATION",NA,NA,NA,20934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,NA,NA,NA,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US",NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aedes albopictus (Skuse, 1894)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Diptera",NA,"Culicidae",NA,NA,NA,"Aedes","Aedes",NA,NA,"albopictus",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"33614778-513a-4ec0-814d-125021cca5fe","GB","2025-02-02T16:31:23.908Z",NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_UNPARSABLE",NA,"true","false",1651430,1651430,1,54,216,811,3346,7924646,NA,1651430,"Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes albopictus",NA,"DWC_ARCHIVE","2025-02-02T16:31:23.908Z","2025-01-24T08:50:12.886Z","true",NA,NA,"false","NORTH_AMERICA","EUROPE","USA","United States","USA.14_1","Illinois","USA.14.57_1","Macoupin","","","NE"
-88.15,38.87,1264870366,NA,NA,NA,"CC0_1_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MATERIAL_CITATION",NA,NA,NA,20960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US",NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aedes albopictus (Skuse, 1894)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Diptera",NA,"Culicidae",NA,NA,NA,"Aedes","Aedes",NA,NA,"albopictus",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"33614778-513a-4ec0-814d-125021cca5fe","GB","2025-02-02T16:31:23.907Z",NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_UNPARSABLE",NA,"true","false",1651430,1651430,1,54,216,811,3346,7924646,NA,1651430,"Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes albopictus",NA,"DWC_ARCHIVE","2025-02-02T16:31:23.907Z","2025-01-24T08:50:12.886Z","true",NA,NA,"false","NORTH_AMERICA","EUROPE","USA","United States","USA.14_1","Illinois","USA.14.40_1","Jasper","","","NE"
-87.62,41.88,1264870355,NA,NA,NA,"CC0_1_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MATERIAL_CITATION",NA,NA,NA,20947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,NA,NA,NA,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US",NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aedes albopictus (Skuse, 1894)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Diptera",NA,"Culicidae",NA,NA,NA,"Aedes","Aedes",NA,NA,"albopictus",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"33614778-513a-4ec0-814d-125021cca5fe","GB","2025-02-02T16:31:23.895Z",NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_UNPARSABLE",NA,"true","false",1651430,1651430,1,54,216,811,3346,7924646,NA,1651430,"Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes albopictus",NA,"DWC_ARCHIVE","2025-02-02T16:31:23.895Z","2025-01-24T08:50:12.886Z","true",NA,NA,"false","NORTH_AMERICA","EUROPE","USA","United States","USA.14_1","Illinois","USA.14.16_1","Cook","","","NE"
-89.2,37.11,1264870341,NA,NA,NA,"CC0_1_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MATERIAL_CITATION",NA,NA,NA,20931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,NA,NA,NA,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US",NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aedes albopictus (Skuse, 1894)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Diptera",NA,"Culicidae",NA,NA,NA,"Aedes","Aedes",NA,NA,"albopictus",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"33614778-513a-4ec0-814d-125021cca5fe","GB","2025-02-02T16:31:23.911Z",NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_UNPARSABLE",NA,"true","false",1651430,1651430,1,54,216,811,3346,7924646,NA,1651430,"Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes albopictus",NA,"DWC_ARCHIVE","2025-02-02T16:31:23.911Z","2025-01-24T08:50:12.886Z","true",NA,NA,"false","NORTH_AMERICA","EUROPE","USA","United States","USA.14_1","Illinois","USA.14.78_1","Pulaski","","","NE"
-88.2,40.11,1264870294,NA,NA,NA,"CC0_1_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MATERIAL_CITATION",NA,NA,NA,20878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US",NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aedes albopictus (Skuse, 1894)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Diptera",NA,"Culicidae",NA,NA,NA,"Aedes","Aedes",NA,NA,"albopictus",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"33614778-513a-4ec0-814d-125021cca5fe","GB","2025-02-02T16:31:23.776Z",NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_UNPARSABLE",NA,"true","false",1651430,1651430,1,54,216,811,3346,7924646,NA,1651430,"Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes albopictus",NA,"DWC_ARCHIVE","2025-02-02T16:31:23.776Z","2025-01-24T08:50:12.886Z","true",NA,NA,"false","NORTH_AMERICA","EUROPE","USA","United States","USA.14_1","Illinois","USA.14.10_1","Champaign","","","NE"
-89.93,38.4,1264869879,NA,NA,NA,"CC0_1_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MATERIAL_CITATION",NA,NA,NA,20474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,NA,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US",NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aedes albopictus (Skuse, 1894)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Diptera",NA,"Culicidae",NA,NA,NA,"Aedes","Aedes",NA,NA,"albopictus",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"33614778-513a-4ec0-814d-125021cca5fe","GB","2025-02-02T16:31:24.507Z",NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_UNPARSABLE",NA,"true","false",1651430,1651430,1,54,216,811,3346,7924646,NA,1651430,"Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes albopictus",NA,"DWC_ARCHIVE","2025-02-02T16:31:24.507Z","2025-01-24T08:50:12.886Z","true",NA,NA,"false","NORTH_AMERICA","EUROPE","USA","United States","USA.14_1","Illinois","USA.14.83_1","Saint Clair","","","NE"
-89.85,38.54,1264869872,NA,NA,NA,"CC0_1_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MATERIAL_CITATION",NA,NA,NA,20460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,NA,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US",NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aedes albopictus (Skuse, 1894)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Diptera",NA,"Culicidae",NA,NA,NA,"Aedes","Aedes",NA,NA,"albopictus",NA,NA,"SPECIES",NA,NA,NA,"ACCEPTED",NA,NA,"33614778-513a-4ec0-814d-125021cca5fe","GB","2025-02-02T16:31:24.502Z",NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_UNPARSABLE",NA,"true","false",1651430,1651430,1,54,216,811,3346,7924646,NA,1651430,"Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes albopictus",NA,"DWC_ARCHIVE","2025-02-02T16:31:24.502Z","2025-01-24T08:50:12.886Z","true",NA,NA,"false","NORTH_AMERICA","EUROPE","USA","United States","USA.14_1","Illinois","USA.14.83_1","Saint Clair","","","NE"
